"","Synergistetes","Cyanobacteria","Fusobacteria","BRC1","Verrucomicrobia","Chlamydiae","Spirochaetes","TM6","[Thermi]","Nitrospirae","Acidobacteria","Proteobacteria","Chlorobi","Deferribacteres","Gemmatimonadetes","Planctomycetes","WPS-2","Aquificae","TM7","Armatimonadetes","Chloroflexi","FBP","Actinobacteria","Crenarchaeota","Euryarchaeota","Tenericutes","GN02","OP11","SR1","Bacteroidetes","Firmicutes"
"CO12",0,0.0056490206304486,0.0058257814707315,0,0.00447544820452129,0,4.31406384814495e-05,0,0,0,0.000867625185919683,0.168239464094377,0,0,0,0,0,0,0,0,8.85896527285613e-05,0,0.113613391991933,0,0,0.00108055658722264,0,0,8.85896527285613e-05,0.0984010689901691,0.601454760346813
"CO13",0,0.0260675265494518,0.00122007976691964,0,0.000819476334327565,0,0,0,0.000361769807543288,0,0.000734214390602056,0.105325869025275,0,0,0,0.000146842878120411,0,4.42948263642807e-05,0,0,0,0,0.149071749815264,0,0,0,0,0,0,0.0154240932474325,0.700462202543237
"CO14",0,0.0023177433087964,0.000554003390882823,0,0.0155839997208628,0.000140291806958474,0,0,0.000116958632397828,0,0.000730873098288937,0.0644405155600487,0,0,0,0,0,0,0,5.91016548463357e-05,0,0,0.252354771420021,0,0.000348386542603799,0.000580317001402378,0,0,0.00026875940657923,0.0539887289693309,0.608271832650846
"CO2",0,0.00486426493204826,0.00563992545685431,0,0.0017325485953065,0,0,0,0.00343196486823407,0,0.0036563071297989,0.238768595816092,0,0,0.0038265306122449,0.00387433309704138,0,0,5.09891902916582e-05,0,0,0.000101978380583316,0.119381180839346,0,0,0,0,0,0,0.149784736433139,0.464733677078145
"CO3",0,0.00160292822505479,0.0326653469695264,0,0.00112296840643535,0,0,0,0.00154218481829526,0,6.93673695893452e-05,0.209103096399664,0,0,0,0.000836981715168684,0,0,3.41110656296903e-05,0,0.000128766417718259,0,0.095378340153858,0,0,0,0.00013260534011851,0,0.00109155410015009,0.146929875786357,0.508679651919841
"CO4",0,0.00321359758449946,0.00490936555891239,0,0.00335739741522364,0.000358937544867193,0,0,0,0,0,0.368385383871595,0,0,0,0,0,0,0,0.00256598240469208,0,0,0.101796842791375,0,0,0,0,0,0,0.0771779466934267,0.437157733500807
"CO5",0,0.00164109289996431,0.00108641512281905,0,0.0011371110931869,0,0,0,0.00394564356694858,0,0.000276854928017719,0.405539942025795,0,0,0,0,0.000140076985181972,0,0,0,0,0,0.488718510368129,0,0,9.55840183521315e-05,0,0,0,0.0250126726728544,0.072107116213282
"CO6",0,0.00151029495433737,0.0079307135519652,0,0.000198615367154693,0,0,0,0,0,0.000320567190161041,0.740987978724085,0,0,0,0,0,0,0,0,0,0,0.0548862482170181,0,0,0,0,0,0.000122870249017038,0.0225332971336821,0.171285285594078
"CO7",0,0.0146496808493122,0.021277880646096,0,0.00149287670585388,0,0,0,0.00086164451009355,0,0.000334135257952419,0.331248081106495,0,0,0,0.000145574534161491,0,0,0,0,0,0,0.149884089330912,0,0,0,0,0,0,0.10435988525686,0.374721064457542
"CO8",0.00060634328358209,0.00628609311092122,0.00402269837273144,0,0.0275320972496427,0.000886194029850746,0,0,0.00325405182675579,0,0,0.199002385876746,0,0,0,0,0,0,0,8.50340136054422e-05,0,0,0.166995416261392,0,0.000139925373134328,0.000465618339571919,0,0,0,0.225532643835378,0.363972561976096
"CO9",0,0.00129604674066649,0.0111546030240456,0,0.0256785539647352,0,0,0.00025654181631606,0,0,0.000384812724474089,0.129486227128036,0,0,0,0,0,0,0,0,0,0.000215331610680448,0.178218019322405,0,0,0.0011464666307649,0.000743064729194188,0,0.00027279130071671,0.20793110615237,0.442341173396028
